file,is_intact,details
67_20200219-145220_005_plantB_day8.txt,y,Done!
29_20200205-215844_028_plantC_day11.txt,n,"Edge assignment failed: (81, [41, 0]); 40; 2; ['69.0 771.0 0', '[41,2] [40,3]']"
56_20200219-145348_009_plantA_day14.txt,n,"Edge assignment failed: (96, [77, 0]); 76; 1; ['24.0 1406.0 0', '[77,1] [76,2]']"
31_20200205-215844_029_plantC_day13.txt,n,"Edge assignment failed: (162, [49, 0]); 48; 5; ['-68.0 991.0 0', '[49,5] [48,6]']"
17_20200205-215035_015_plantA_day12.txt,n,"Edge assignment failed: (76, [23, 0]); 22; 6; ['-240.0 566.0 0', '[23,7]']"
18_20200205-214859_007_plantB_day5.txt,y,Done!
27_20200205-215844_027_plantB_day12.txt,n,"Edge assignment failed: (34, [20, 0]); 19; 4; ['-82.0 378.0 0', '[20,3]']"
63_20200219-145220_004_plantB_day7.txt,y,Done!
17_20200205-215035_015_plantC_day3.txt,y,Done!
60_20200219-145220_003_plantA_day11.txt,n,"Edge assignment failed: (83, [35, 0]); 34; 4; ['90.0 529.0 0', '[35,4]']"
68_20200219-145348_012_plantA_day7.txt,y,Done!
34_20200213-171245_001_plantA_day9.txt,n,"Edge assignment failed: (76, [28, 0]); 27; 4; ['-73.0 540.0 0', '[28,4]']"
71_20200219-145220_006_plantB_day1.txt,y,Done!
25_20200205-215844_026_plantA_day6.txt,y,Done!
95_set1_day13_20200329-140102_023_plantA_day5.txt,n,"Edge assignment failed: (29, [26, 0]); 26; 2; ['109.0 396.0 0', '[27,1]']"
23_20200205-215715_017_plantC_day7.txt,y,Done!
92_set1_day13_20200329-140102_020_plantE_day2.txt,y,Done!
61_20200219-145348_010_plantD_day6.txt,y,Done!
2_20200205-214859_001_plantA_day9.txt,n,"Edge assignment failed: (12, [7, 0]); 6; 1; ['-58.0 65.0 0', '[7,1] [6,2]']"
26_20200205-215715_018_plantA_day7.txt,y,Done!
17_20200205-215035_015_plantC_day4.txt,y,Done!
15_20200205-214859_006_plantE_day6.txt,y,Done!
49_20200219-145348_007_plantD_day13.txt,n,"Edge assignment failed: (127, [61, 0]); 60; 2; ['4.0 1032.0 0', '[61,2]']"
23_20200205-215715_017_plantE_day1.txt,y,Done!
89_set1_day13_20200329-140102_017_plantA_day2.txt,y,Done!
21_20200205-214859_008_plantD_day2.txt,y,Done!
37_20200213-171245_002_plantA_day10.txt,n,"Edge assignment failed: (23, [16, 0]); 15; 2; ['-24.0 374.0 0', '[16,2]']"
31_20200205-215844_029_plantD_day4.txt,y,Done!
66_20200219-145348_011_plantD_day9.txt,n,"Edge assignment failed: (58, [25, 0]); 24; 4; ['30.0 486.0 0', '[25,4]']"
43_20200213-171421_013_plantA_day5.txt,y,Done!
48_20200213-171421_015_plantE_day4.txt,y,Done!
4_20200205-215035_010_plantC_day1.txt,y,Done!
54_20200219-145220_002_plantC_day7.txt,y,Done!
21_20200205-214859_008_plantA_day1.txt,y,Done!
53_20200219-145348_008_plantE_day6.txt,y,Done!
45_20200213-171245_005_plantE_day11.txt,n,"Edge assignment failed: (54, [23, 0]); 22; 3; ['-6.0 414.0 0', '[23,3] [22,4]']"
40_20200213-171245_003_plantC_day9.txt,n,"Edge assignment failed: (41, [29, 0]); 28; 2; ['79.0 607.0 0', '[29,2]']"
40_20200213-171245_003_plantC_day14.txt,n,"Edge assignment failed: (45, [24, 0]); 23; 4; ['81.0 471.0 0', '[24,4]']"
56_20200219-145348_009_plantA_day9.txt,y,Done!
26_20200205-215715_018_plantD_day9.txt,n,"Edge assignment failed: (54, [31, 0]); 30; 3; ['-51.0 775.0 0', '[31,2]']"
63_20200219-145220_004_plantD_day14.txt,n,"Edge assignment failed: (85, [37, 0]); 36; 5; ['-46.0 544.0 0', '[37,4] [37,5]']"
22_20200205-215844_025_plantA_day7.txt,y,Done!
35_20200213-171421_010_plantD_day1.txt,y,Done!
1_20200205-215035_009_plantA_day5.txt,y,Done!
47_20200213-171245_006_plantC_day3.txt,y,Done!
76_set1_day13_20200329-135710_004_plantC_day5.txt,y,Done!
33_20200213-171421_009_plantB_day12.txt,n,"Edge assignment failed: (85, [37, 0]); 36; 4; ['-42.0 848.0 0', '[37,4] [36,5]']"
9_20200205-214859_003_plantD_day1.txt,y,Done!
40_20200213-171245_003_plantC_day6.txt,y,Done!
